Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
fastqc | MantonBM1_HiSeq_6_S6_L008_R1_001	31.519696911644907	31.59261362554021	35.54738165350601	36.05544088096525	36.267656472605175	39.68552425796483	39.78387157703656	39.89817203626581	39.922144270959166	39.97554482498782	39.951860936173475	39.99136357424265	39.954685254330215	39.97790203012804	39.93735256465158	39.880771503428804	39.93111509622543	39.94788428079667	39.878354592987634	39.854450085197556	39.916104469429214	39.90356182228152	39.85067448472291	39.870924330564485	39.8088304189922	39.6725865925743
fastqc | MantonBM1_HiSeq_7_S7_L007_R1_001	31.20027278510052	31.63399586597691	35.567966782400724	36.167487777540956	36.33820516932165	39.79681581951065	39.89434709194118	40.00894945283621	40.03312865735881	40.10630455121016	40.073446288575525	40.0954096806258	40.031101269621836	40.05906344390816	40.047650475850894	40.00728943606374	40.02975910650388	40.0279268996354	39.96334816030661	39.946652975122156	40.003389088861574	39.99779922697885	39.92415999851266	39.9654665317432	39.968110719576316	39.71438591563698
fastqc | MantonBM1_HiSeq_7_S7_L008_R1_001	31.511278006092493	31.592456037203874	35.52120957965622	36.05390571368101	36.262267758526235	39.687767352635646	39.8105724823142	39.91084016427065	39.93307847569404	39.98191569418471	39.95637861918388	40.00144354226791	39.95240823957805	39.971327808197216	39.935733435430976	39.855493013214364	39.91808743037313	39.93747411262428	39.86547613939434	39.84308365321231	39.90807221320713	39.893872469489885	39.83893989601589	39.8609813654718	39.799845017790744	39.66059356833493
fastqc | MantonBM1_HiSeq_8_S8_L007_R1_001	31.203099836340144	31.622950293695553	35.54887200485658	36.16634042035792	36.32883280761759	39.76517639680962	39.87924764215337	40.00398657934783	40.02806301967226	40.11700039377893	40.06340277312105	40.07578061795724	40.02724905206126	40.06096657868901	40.03538765364875	40.00957298843757	40.02333344156909	40.024800416672974	39.95582985392303	39.9383623987762	40.00066924285684	39.99651661619824	39.91760865076604	39.96231061834104	39.96698057723283	39.70657603427243
fastqc | MantonBM1_HiSeq_8_S8_L008_R1_001	31.514116435018376	31.583674440436866	35.50603659292419	36.0555226564813	36.25351716859203	39.6616281921521	39.79668765403114	39.907051649005844	39.92764836634126	39.99270823908893	39.945941574202514	39.98167807832096	39.949538684673605	39.973664347616925	39.923605913257504	39.85813912220606	39.91117164679992	39.933764983805496	39.85870434935855	39.83613179071567	39.90603363105038	39.893869796549374	39.833919069112646	39.85941612139562	39.79776567516462	39.65299685333102
fastqc | MantonBM2_HiSeq_1_S9_L005_R1_001	31.53007314921617	31.651000018044332	35.660165012087546	36.19451903224921	36.3796239529933	39.836861880894965	39.974664133727835	40.0490210480281	40.07757467662385	40.164738976214714	40.12462300165385	40.159038376457914	40.106706898089726	40.138920101146894	40.12703557970391	40.020684264548066	40.07881781757603	40.09126186987265	40.0325312686547	40.0025000010764	40.025571401558054	40.06512083889782	39.96834981140933	40.045713807738	39.99683997170993	39.88426410576499
fastqc | MantonBM2_HiSeq_1_S9_L006_R1_001	31.4610173922163	31.565424437758914	35.4498702093927	36.019160308699675	36.223127809676335	39.609828461748315	39.75926255347417	39.860777023374546	39.843985239015666	39.9563664102765	39.91335861324986	39.93086684968894	39.88828969538895	39.90945508105671	39.899183824729285	39.86445177595317	39.87787501225149	39.880575549411525	39.80849294290012	39.79290334373501	39.83483390525395	39.83572577279825	39.79092290293221	39.84127911822647	39.83066896544537	39.656014856886365
fastqc | MantonBM2_HiSeq_2_S10_L005_R1_001	31.550444953536278	31.66461272797711	35.735477968705524	36.22163773670667	36.39746674818684	39.87162977784592	39.99704077360506	40.08683531975929	40.0818422236203	40.16866451869145	40.13750101156973	40.16467815331452	40.1158235487017	40.14259376813698	40.12563163915148	40.010848064356246	40.07762179338432	40.08866929935579	40.04739016388318	40.021103272510686	40.02946850353527	40.06813664619525	39.99058932642506	40.04945843260489	39.99850616315304	39.90674839109305
fastqc | MantonBM2_HiSeq_2_S10_L006_R1_001	31.478863984617327	31.575151737246703	35.51243710087171	36.041511887867834	36.23979387667108	39.639263205964895	39.775747172459624	39.89350511521939	39.84747455193864	39.959623970628826	39.92272217444616	39.938022049046715	39.8954111482672	39.91266204750501	39.897912895604016	39.85411282902551	39.875477290806366	39.87717942860832	39.81991147103377	39.80738331216315	39.83654817662061	39.83824620370736	39.80935519208033	39.843268536016296	39.83174927488304	39.6768397628502
fastqc | MantonBM2_HiSeq_3_S11_L005_R1_001	31.539731442708526	31.64145432215895	35.66772167858696	36.216617918770226	36.39306127517594	39.873897205351064	39.966832939932544	40.07969270343687	40.08987328083785	40.17754274549961	40.14669442848337	40.185117360920216	40.12647919669026	40.15462831321202	40.13718313532342	40.02715838361541	40.08542516592713	40.101378616916065	40.04224715859693	40.01489575928763	40.0360629386232	40.075936043488774	39.97926757047105	40.055839436668585	40.008251760352614	39.89799272432308
fastqc | MantonBM2_HiSeq_3_S11_L006_R1_001	31.47216424714392	31.556159655123665	35.459742348172384	36.04215959788825	36.236911403071545	39.64827728330139	39.75599134711349	39.89311986825945	39.85821124038368	39.96966000272054	39.938099334420805	39.96220449511021	39.91045008435006	39.9260068219385	39.91182197859001	39.871597440980075	39.88615212966166	39.891166646368966	39.81975670891612	39.80642144276588	39.847511846452875	39.84924804585637	39.80406296917701	39.85354983145497	39.84550724144053	39.673830730146165
fastqc | MantonBM2_HiSeq_4_S12_L005_R1_001	31.534322637758027	31.64376644165978	35.67041502245846	36.19371660514268	36.386998252298596	39.85556879192939	39.956437541306585	40.06736048986579	40.0889369751019	40.16886493289316	40.136841715524724	40.17090614477999	40.11054678113121	40.14090176571269	40.12127104524619	40.020836203366166	40.077612383820224	40.09499522239169	40.034715327360296	40.008731208883354	40.02846705202926	40.069828163674316	39.97157111575984	40.04765177515328	40.000348191231055	39.89135838313652
fastqc | MantonBM2_HiSeq_4_S12_L006_R1_001	31.466392178132796	31.55822254887492	35.458171222276455	36.01991337218992	36.23266859291579	39.630900976305384	39.74619838067312	39.88004044127155	39.85429908112729	39.95981719146845	39.925224508117765	39.94372956388671	39.891786338228705	39.91051599661652	39.89329367580426	39.86509704703157	39.87596075370239	39.88273839272966	39.81099879624596	39.79862305194479	39.83681607727546	39.84032787822306	39.79543857481378	39.84371321769612	39.83506739688585	39.664158744090955
fastqc | MantonBM2_HiSeq_5_S13_L005_R1_001	31.53818048308016	31.635366825466935	35.665802450862216	36.19771372127456	36.38009378355141	39.82702516672115	39.96331661402289	40.07071391434333	40.08763131807156	40.1698195805711	40.13290940340943	40.17662543110216	40.1217744111394	40.146360230612274	40.12967604698014	40.02095333338727	40.082848711463164	40.09751463651656	40.04105860437966	40.009563215722075	40.02990284823609	40.0692255290029	39.97602786461471	40.050258292851055	40.00204707957378	39.892482144999114
