Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | MantonBM5_HiSeq_3_S3_L002_R1_001	46.7700581151598	50.0	26.0	0.0	64960882.0
fastqc | MantonBM5_HiSeq_4_S4_L001_R1_001	45.211891294370034	50.0	26.0	0.0	61109471.0
fastqc | MantonBM5_HiSeq_4_S4_L002_R1_001	46.078727000734034	50.0	26.0	0.0	62202733.0
fastqc | MantonBM5_HiSeq_5_S5_L001_R1_001	44.86166123470397	50.0	26.0	0.0	62651391.0
fastqc | MantonBM5_HiSeq_5_S5_L002_R1_001	45.447764902151135	50.0	26.0	0.0	63972818.0
fastqc | MantonBM5_HiSeq_6_S6_L001_R1_001	45.67093268891564	50.0	26.0	0.0	60872831.0
fastqc | MantonBM5_HiSeq_6_S6_L002_R1_001	46.41018508734396	50.0	26.0	0.0	62065810.0
fastqc | MantonBM5_HiSeq_7_S7_L001_R1_001	39.79983339934439	50.0	26.0	0.0	47105455.0
fastqc | MantonBM5_HiSeq_7_S7_L002_R1_001	40.44081784631004	50.0	26.0	0.0	47770617.0
fastqc | MantonBM5_HiSeq_8_S8_L001_R1_001	42.78548362857373	50.0	26.0	0.0	55689265.0
fastqc | MantonBM5_HiSeq_8_S8_L002_R1_001	43.61778781159759	50.0	26.0	0.0	56678328.0
fastqc | MantonBM6_HiSeq_1_S9_L003_R1_001	55.50976181647748	50.0	26.0	18.181818181818183	66660112.0
fastqc | MantonBM6_HiSeq_1_S9_L004_R1_001	55.779601055347115	50.0	26.0	9.090909090909092	67016056.0
fastqc | MantonBM6_HiSeq_2_S10_L003_R1_001	57.318767138065446	50.0	26.0	18.181818181818183	70444096.0
fastqc | MantonBM6_HiSeq_2_S10_L004_R1_001	57.75710560233627	50.0	26.0	9.090909090909092	70818214.0
fastqc | MantonBM6_HiSeq_4_S11_L003_R1_001	56.96181802193755	50.0	26.0	18.181818181818183	67750525.0
fastqc | MantonBM6_HiSeq_4_S11_L004_R1_001	57.25381845225526	50.0	26.0	9.090909090909092	68045467.0
fastqc | MantonBM6_HiSeq_5_S12_L003_R1_001	54.637295039573615	50.0	26.0	18.181818181818183	67230991.0
fastqc | MantonBM6_HiSeq_5_S12_L004_R1_001	54.788345991271584	50.0	26.0	9.090909090909092	67615495.0
fastqc | MantonBM6_HiSeq_6_S13_L003_R1_001	59.05164127282289	50.0	26.0	18.181818181818183	74292547.0
fastqc | MantonBM6_HiSeq_6_S13_L004_R1_001	59.18287573384853	50.0	26.0	9.090909090909092	74654163.0
fastqc | MantonBM6_HiSeq_7_S14_L003_R1_001	56.270080093418386	50.0	26.0	18.181818181818183	66686895.0
fastqc | MantonBM6_HiSeq_7_S14_L004_R1_001	56.335517870179174	50.0	26.0	9.090909090909092	67021738.0
fastqc | MantonBM6_HiSeq_8_S15_L003_R1_001	57.242279246142196	50.0	26.0	18.181818181818183	70333675.0
fastqc | MantonBM6_HiSeq_8_S15_L004_R1_001	57.72319838231168	50.0	26.0	9.090909090909092	70719467.0
fastqc | MantonBM7_HiSeq_1_S16_L005_R1_001	43.15931970478798	50.0	26.0	9.090909090909092	38630446.0
fastqc | MantonBM7_HiSeq_1_S16_L006_R1_001	47.106671581723525	50.0	26.0	0.0	45888735.0
fastqc | MantonBM7_HiSeq_2_S17_L005_R1_001	44.27519471941932	50.0	26.0	9.090909090909092	43121425.0
fastqc | MantonBM7_HiSeq_2_S17_L006_R1_001	48.11090330399733	50.0	26.0	0.0	51361815.0
fastqc | MantonBM7_HiSeq_3_S18_L005_R1_001	43.76922713497766	50.0	26.0	9.090909090909092	43705537.0
fastqc | MantonBM7_HiSeq_3_S18_L006_R1_001	47.282138386017316	50.0	26.0	0.0	51777557.0
fastqc | MantonBM7_HiSeq_4_S19_L005_R1_001	47.929935893344165	50.0	26.0	9.090909090909092	52621424.0
fastqc | MantonBM7_HiSeq_4_S19_L006_R1_001	51.84042146911271	50.0	26.0	9.090909090909092	62122783.0
fastqc | MantonBM7_HiSeq_5_S20_L005_R1_001	43.47964345668418	50.0	26.0	9.090909090909092	39968381.0
fastqc | MantonBM7_HiSeq_5_S20_L006_R1_001	47.04304086950815	50.0	26.0	0.0	47514243.0
fastqc | MantonBM7_HiSeq_6_S21_L005_R1_001	41.074979374675735	50.0	26.0	9.090909090909092	38468283.0
fastqc | MantonBM7_HiSeq_6_S21_L006_R1_001	44.94929862699312	50.0	26.0	0.0	46063907.0
fastqc | MantonBM7_HiSeq_7_S22_L005_R1_001	42.65823548183345	50.0	26.0	9.090909090909092	36004054.0
fastqc | MantonBM7_HiSeq_7_S22_L006_R1_001	47.04613765893452	50.0	26.0	0.0	42984019.0
fastqc | MantonBM7_HiSeq_8_S23_L005_R1_001	44.516515600208805	50.0	26.0	9.090909090909092	41406031.0
fastqc | MantonBM7_HiSeq_8_S23_L006_R1_001	47.99762770181998	50.0	26.0	0.0	49155028.0
fastqc | MantonBM8_HiSeq_1_S24_L007_R1_001	50.161583183270174	50.0	26.0	18.181818181818183	54611821.0
fastqc | MantonBM8_HiSeq_1_S24_L008_R1_001	49.20923642032796	50.0	26.0	0.0	51516876.0
fastqc | MantonBM8_HiSeq_2_S25_L007_R1_001	50.13751051403064	50.0	26.0	18.181818181818183	49416218.0
fastqc | MantonBM8_HiSeq_2_S25_L008_R1_001	49.133132780752796	50.0	26.0	0.0	46535875.0
fastqc | MantonBM8_HiSeq_3_S26_L007_R1_001	47.77038001457983	50.0	26.0	9.090909090909092	49053849.0
fastqc | MantonBM8_HiSeq_3_S26_L008_R1_001	46.8770721662905	50.0	26.0	0.0	46231695.0
fastqc | MantonBM8_HiSeq_4_S27_L007_R1_001	51.004125520082404	50.0	26.0	18.181818181818183	53729679.0
fastqc | MantonBM8_HiSeq_4_S27_L008_R1_001	50.10810790098868	50.0	26.0	9.090909090909092	50765802.0
fastqc | MantonBM8_HiSeq_5_S28_L007_R1_001	50.435043850480255	50.0	26.0	18.181818181818183	50378294.0
fastqc | MantonBM8_HiSeq_5_S28_L008_R1_001	49.756205203520985	50.0	26.0	0.0	47511822.0
fastqc | MantonBM8_HiSeq_6_S29_L007_R1_001	49.12132661658634	50.0	26.0	9.090909090909092	51732289.0
fastqc | MantonBM8_HiSeq_6_S29_L008_R1_001	48.36062644090675	50.0	26.0	0.0	48760300.0
fastqc | MantonBM8_HiSeq_7_S30_L007_R1_001	48.63452112322611	50.0	26.0	9.090909090909092	49803808.0
fastqc | MantonBM8_HiSeq_7_S30_L008_R1_001	47.88350558168134	50.0	26.0	0.0	46996757.0
fastqc | MantonBM8_HiSeq_8_S31_L007_R1_001	48.489177794651475	50.0	26.0	9.090909090909092	45201536.0
fastqc | MantonBM8_HiSeq_8_S31_L008_R1_001	47.2874992895066	50.0	26.0	0.0	42624393.0
