Sample	1	2	3	4	5	6	7	8
fastqc | MantonBM1_HiSeq_6_S6_L007_I1_001	30.96178293629602	31.168844232708313	34.60526856950719	35.17111221944497	35.94047385040716	39.215928868803836	39.41729957010952	39.659639128026484
fastqc | MantonBM1_HiSeq_6_S6_L008_I1_001	30.81119662559922	31.04880014018373	34.50004073080684	34.98925060447257	35.79170831713443	38.95027001826152	39.19312057419925	39.47024303578354
fastqc | MantonBM1_HiSeq_7_S7_L007_I1_001	31.128345149096404	31.276535501404677	34.775919564499986	35.7186610041307	35.81336995589092	39.084966740569136	39.274482466921505	39.53392149871285
fastqc | MantonBM1_HiSeq_7_S7_L008_I1_001	30.994723517263164	31.159042857701614	34.72987942191574	35.57652710693671	35.66556506593205	38.7924137461152	39.064217185858276	39.3512094273103
fastqc | MantonBM1_HiSeq_8_S8_L007_I1_001	31.045778555209758	31.49454392713609	35.24674766372777	35.783939423926306	36.034704660261326	39.35611208062519	39.40531680131161	39.65579206766645
fastqc | MantonBM1_HiSeq_8_S8_L008_I1_001	30.910350362002063	31.403944909634397	35.07480960607026	35.65254397551647	35.89344222169911	39.023337633967145	39.1651859298882	39.43883741893546
fastqc | MantonBM2_HiSeq_1_S9_L005_I1_001	31.119966311506463	31.513382435835275	35.67899736454901	35.72881635563288	36.11080840211414	39.50373200620991	39.46139305607924	39.5000792228365
fastqc | MantonBM2_HiSeq_1_S9_L006_I1_001	31.030187784481377	31.388927518462367	35.40220413121639	35.447384535397404	35.86447091373555	39.089927224639865	39.08369412564065	39.179456072257445
fastqc | MantonBM2_HiSeq_2_S10_L005_I1_001	31.031795782412768	31.29915817904095	35.08670738454446	35.68765234895765	36.14924783116085	38.9910805383057	39.68505702027326	39.60946640543915
fastqc | MantonBM2_HiSeq_2_S10_L006_I1_001	30.913822325158552	31.12117707727922	34.76447521421635	35.422837934449326	35.908200073562945	38.55723693864554	39.33323654296092	39.331071836558564
fastqc | MantonBM2_HiSeq_3_S11_L005_I1_001	31.053085818754298	31.50342119602807	34.535337244991815	35.77191603074123	35.51979303229424	39.24687462946444	39.37310971596948	39.578315358523525
fastqc | MantonBM2_HiSeq_3_S11_L006_I1_001	30.93462010794006	31.380866544552745	34.24350756015634	35.50973145413123	35.1634885893673	38.81977998152978	38.95740228004117	39.27948922523831
fastqc | MantonBM2_HiSeq_4_S12_L005_I1_001	31.081993220361223	31.531073694555182	35.24612005809834	35.996725292157286	35.80529342819414	39.13424271208551	39.611984025997	39.642255266284096
fastqc | MantonBM2_HiSeq_4_S12_L006_I1_001	30.973708633442666	31.41261495109033	34.91305686624306	35.757755615430476	35.507408336381204	38.66650761147875	39.26174683196806	39.37053334041875
fastqc | MantonBM2_HiSeq_5_S13_L005_I1_001	31.053945768790893	31.38528225086969	35.25635523083267	35.789959755685246	36.147688933875976	39.57501804543431	39.58584809244123	39.66508424240884
fastqc | MantonBM2_HiSeq_5_S13_L006_I1_001	30.942795500523808	31.23035070039564	34.964233710641004	35.533895073536605	35.90024329949709	39.169497201363896	39.19739536966046	39.38664044166543
fastqc | MantonBM2_HiSeq_6_S14_L005_I1_001	31.1937020069826	31.516373488179546	35.478998706115725	36.00310044285099	36.26202722794697	39.53715427545163	39.61591986953312	39.422340638049576
fastqc | MantonBM2_HiSeq_6_S14_L006_I1_001	31.11740263792488	31.393544386198634	35.179542433072065	35.76111658916356	36.04701238621994	39.16218730984362	39.2773596977448	39.1073958925382
fastqc | MantonBM2_HiSeq_7_S15_L005_I1_001	31.103670260123124	31.528890571321327	34.87645934381678	35.71320453364499	36.13745463045869	39.5461178694893	39.18223393383265	39.61043970479528
fastqc | MantonBM2_HiSeq_7_S15_L006_I1_001	31.00921742939967	31.410397531222042	34.49922527570039	35.41824024440368	35.89133779195062	39.14725144603057	38.77283819888808	39.32590345409722
fastqc | MantonBM2_HiSeq_8_S16_L005_I1_001	31.09242048348385	31.60141606892589	34.73436090681013	35.906075207464696	35.769990376830194	39.321117488097514	39.51491323208407	39.541576497987165
fastqc | MantonBM2_HiSeq_8_S16_L006_I1_001	30.999655589003897	31.501089181186067	34.41370040736879	35.67021764893937	35.47351887797497	38.90941817973985	39.14652262256534	39.25680264972594
fastqc | MantonBM3_HiSeq_1_S17_L003_I1_001	31.081849849787407	31.593473131641368	34.717231447643414	35.841227285807285	36.101277792164986	39.32147008769344	39.36534349179825	39.56168974734534
