Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | MantonBM7_HiSeq_3_S18_L005_I1_001	99.99972543524633	49.0	8.0	27.27272727272727	43705537.0
fastqc | MantonBM7_HiSeq_3_S18_L006_I1_001	99.99976823935513	49.0	8.0	27.27272727272727	51777557.0
fastqc | MantonBM7_HiSeq_4_S19_L005_I1_001	99.99977195600027	49.0	8.0	27.27272727272727	52621424.0
fastqc | MantonBM7_HiSeq_4_S19_L006_I1_001	99.99980683415293	49.0	8.0	27.27272727272727	62122783.0
fastqc | MantonBM7_HiSeq_5_S20_L005_I1_001	99.99969976266989	53.0	8.0	27.27272727272727	39968381.0
fastqc | MantonBM7_HiSeq_5_S20_L006_I1_001	99.99974954878267	53.0	8.0	27.27272727272727	47514243.0
fastqc | MantonBM7_HiSeq_6_S21_L005_I1_001	99.9996880547021	51.0	8.0	27.27272727272727	38468283.0
fastqc | MantonBM7_HiSeq_6_S21_L006_I1_001	99.99974166325057	51.0	8.0	27.27272727272727	46063907.0
fastqc | MantonBM7_HiSeq_7_S22_L005_I1_001	99.99966670419948	50.0	8.0	18.181818181818183	36004054.0
fastqc | MantonBM7_HiSeq_7_S22_L006_I1_001	99.99972780581545	50.0	8.0	18.181818181818183	42984019.0
fastqc | MantonBM7_HiSeq_8_S23_L005_I1_001	99.9997101871464	52.0	8.0	27.27272727272727	41406031.0
fastqc | MantonBM7_HiSeq_8_S23_L006_I1_001	99.99976401193383	52.0	8.0	27.27272727272727	49155028.0
fastqc | MantonBM8_HiSeq_1_S24_L007_I1_001	99.99978026735275	50.0	8.0	27.27272727272727	54611821.0
fastqc | MantonBM8_HiSeq_1_S24_L008_I1_001	99.99976124328657	50.0	8.0	27.27272727272727	51516876.0
fastqc | MantonBM8_HiSeq_2_S25_L007_I1_001	99.99975716474296	50.0	8.0	27.27272727272727	49416218.0
fastqc | MantonBM8_HiSeq_2_S25_L008_I1_001	99.9997335389095	50.0	8.0	27.27272727272727	46535875.0
fastqc | MantonBM8_HiSeq_3_S26_L007_I1_001	99.99975537087823	53.0	8.0	27.27272727272727	49053849.0
fastqc | MantonBM8_HiSeq_3_S26_L008_I1_001	99.99973394875529	53.0	8.0	27.27272727272727	46231695.0
fastqc | MantonBM8_HiSeq_4_S27_L007_I1_001	99.99977665974889	51.0	8.0	27.27272727272727	53729679.0
fastqc | MantonBM8_HiSeq_4_S27_L008_I1_001	99.9997577109094	51.0	8.0	27.27272727272727	50765802.0
fastqc | MantonBM8_HiSeq_5_S28_L007_I1_001	99.99976180217615	51.0	8.0	27.27272727272727	50378294.0
fastqc | MantonBM8_HiSeq_5_S28_L008_I1_001	99.99974111706345	51.0	8.0	27.27272727272727	47511822.0
